Tenement,Holder,Area (ha),Grant Date
P 26/3531,Dioro Exploration NL,196.23,2/07/2009
P 26/3532,Dioro Exploration NL,112.01,2/07/2009
P 26/3533,Dioro Exploration NL,121.34,2/07/2009
P26/4019,HBJ Minerals Pty Ltd,131.6394,28/05/2014
