TenemenSurface,Sample,Batch,,
Elementsassayed,,,,
Samples,IDS,No.,,
E15/1427,11,ER001-011,u267361,"B, Be, Cs, Li, Nb, Rb, Sb, Sn,Ta"
E15/1427,12,ER012-023,u267362,"Au, Pt, Pd, Co, Cu, Mn, Ni, S, Zn, Ag, As, Ba, Cd, Pb, Se"
"Au, Pt, Pd, B, Co, Cr, Cu, Ni, S, Zn, As, Be, Cs, Li, Nb, Pb, Rb, Sn,",,,,
E15/1427,5,ER024-028u269898,,
Ta,,,,
TOTAL,28,,,
