Hole ID,Depth,Azi,Dip,RL,Grid,Easting,Northing,Started,Completed
JAN22DD004,1529.1,298.3,-70.7,331,MGA9451,386540,6528810,10/03/2022,16/05/2022
Table7I1JAN22DD_004drillholedetails,,,,,,,,,
