Resistivity
Complexresistivity
Seismic reflection
Well logging
Geophysical interpretation
Other (specify)
Geochemical Surveying
Drill sample
Stream sediment
Soil
Rock chip (in pit)
Laterite
Water
Biochemistry
Isotope
Whole rock
Mineral analysis
Other (specify)
Drilling
Diamond
Reverse circulation
Rotaryairblast
Air core
Auger
Groundwater drilling
All drilling
Geological Drill Log Codes
