Project,HoleID,From (m),Length (m),Au (ppm),GM
StIves,KD81720,84,92,0.23,1.84
StIves,KD81721,84,88,0.44,1.76
StIves,KD81734,82,88,0.38,2.28
StIves,KD81739,40,48,0.22,1.76
StIves,KD81740,78,84,0.24,1.44
StIves,KD81741,82,91,0.91,8.19
StIves,KD81748,86,90,0.34,1.36
StIves,KD81750,84,92,1.91,15.28
0,0,0,0,0,0
