Tenement,GrantDate,ExpiryDate,Holder,Expenditure ($),AreaSize(KM2),Area Size (BLK)
E15/1447,02/08/2016,01/08/2026,HOGANSRESOURCESPTYLTD,58000,81.2,29
0,0,0,0,0,0,0
