Bulli on,2 3,R,6 8 1 7 1,"JSRC1-3, 5-8","JSRC1-3, 5-8","Au, As"
Liont own,0 6,R,7 5 2 6 2,CHRC030-035,nil,"Au, As, Sb"
Pano rami,0 8,Y,8 0 7 L0 9,TRC017-018,_TRC017-018,"Al, As, Co, Cr, Cu, Fe, Mg, Mn, Ni, S, Ti, Zr"
St Ives Gold Mini ng,2 0 1 2,0,1 0 9 1 9 9,"OHD2000-2081, RHD2000-2125",OHD2000-2081,"Au, Ag, As, Ba, Be, Bi, Ca, Cd, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Fe, Ga, Gd, Ge, Hf, Ho, In, K, La, Li, Lu, Mg, Mn, Mo, Na, Nb, Nd, Ni, P, Pb, Pr, Rb, Re, S, Sb, Sc, Se, Sm, Sn, Sr, Ta, Tb, Te, Th, Ti, Tl, Tm, U, V, W, Y, Yb, Zn, Zr"
0,0,0,0,0,0,0
