Drilling,Method,Tenement,No.ofHoles,TotalMeters
AllE15/1447,AC,E15/1447,398,22522
0,RC,0,28,5290
0,DD,0,9,3510.3
TOTAL,0,0,435,31322.3
Graticulesrelinguished,AC,E15/1447,365,20862
0,RC,0,16,2870
0,DD,0,0,3510.3
0,0,0,0,0
