Project Name:,Beta Hunt Southern Offset Extensior
Combined Reporting Number?,
Tenement Numbers:,ML 15/327 and M15/1628
Tenement Operator,Karora Resources Pty Ltd
Tenement Holder:,St Ives Gold Mining Company (Gold Fields)
Report Type:,Co-Funded Drilling Final Report
Report Title:,Co-Funded Drilling - Final Report Beta Hunt Southern
"Offset Extension, June 2021",
Report Period:,
Author:,JohnStockfeld
Date of report:,25 June 2021
1:250 000 map sheet:,SH51-14WIDGIEMOOLTHA
1:100 000 map sheet:,3235LAKELEFROY
Geodetic Datum:,KNO- mine grid (GDA94 Regional)
Project Zone:,51
Target Commodity:,Nickel (Ni)
Keywords:,"Beta Hunt, nickel"
Prospects drilled:,"Beta Hunt southern offset, the'Gamma zone."
List of Assays:,"Au, Ni, FeO, MgO, As, Cu, S, Co"
