" Defo
rmati

Even", McCuaig (1999), hedden (1998)," Nguyen (1998)
Kambalda area", ynthesised for Avoca, , , , , 
 De D1," NNW-SSE extension Northerly directed
hrusting","  North-South regional
hortening-> S over N low
ngle thrusts","  North—south
regional shortening-
> south over north
hrusts"," NNW-SSE extension North —south regional shortening -> S
ver N thrusts", , , , , 
 D2," E-W compression ->
teep N to NNW
rending reverse
aults and folds"," ENE regional shortening ->
NNW trending open upright
olds reverse thrusts along
old limbs"," E-W shortening->
upright NNW
rending, gently SE
plunging folds."," E-W compression -> steep N to NNW
rending reverse faults and folds", , , , , 
 D3," NE-SW compression
> dextral

reactivation of D2
aults. Others thrust"," ESE-WNW shortening->
inistral shear Zones along

NNW structures low angle
hrusts"," blique-sinistral
rench faulting
reverse shear zones"," ESE-WNW and NE-SW compressive
vents-> reactivation of reverse faults.
ther thrust and faults variably dextral
nd sinistral movements.", , , , , 
 D4, , ," Dextral -reverse
reactivation", Late brittle faulting and reactivation, , , , , 
