" tructure
dentifier"," From
Depth
(m)", ," hear
Fabric"," Interpreted
tructure"
 , 604.0, 622.0, Unknown," an East
hrust"
 , 650.0, 663.0," 781, 0591"," an East
hrust"
 , 717.5, 720.6, Unknown, Unknown
 , 974 1, 984.2," 60, 0631"," an Main
Fault"
 , 1016.9, 1043.9," 6M, 0601"," an Main
Fault"
 , 1163.1, 1169.6, Unknown, Unknown
