 Previous Exploration Activities, , , 
 Description of activities Company Year A Number, , , 
 618 Auger samples Hogans Resources  , , , 
" 76 air core holes Cyprus Gold Australia 11995-1997 49989, 49990, 52840, 53250", , , 
 28 air core holes Delta Gold Ltd 2000-2001 63922, , , 
" 1122 RAB holes (Octagonal Resources (WA) Pty Ltd 2012-2014 97604, 98301, 104141", , , 
