" From

(m)", ," 4.
(ppm)", (Sn), (ppm), (ppm)," Mo
(ppm)", (ppm), Host, 
 502.0, 508.8, , 164, 0.19, 631, B.6, 149, Kapai Slate, 
 604.25, 618.2, B.0, 254, 0.27, 1436, B.7, 159, Kapai Slate Jan East Thrust, 
 1027.45*, 1032.3, Lal, 149, 0.02, , 6.3, ," Interflow sediment in Lunnon Basalt Jan Main
Fault", 
