 Previous Exploration Activities, , , 
 Description of activities Company Year A Number, , , 
" 9 RAB
10 RC holes Actec Mining Company 1987-1988 027201", , , 
 79 RAB holes Aztec Mining Company 11989 029855, , , 
" 32 RAB holes
5 RC holes Actec Mining Company 1990 033021", , , 
 B4 RAB holes Aztec Mining Company 1991 035280, , , 
 64 RAB holes Sovereign Resources 1994 43335, , , 
 1149 RAB holes Sovereign Resources 11995 46800, , , 
 43 RAB holes Australian Gold Resources 11996-1997 51953, , , 
 B diamond holes WMC Resources 11997 54172, , , 
 51 air core holes Goldfields Australasia 11994-2002 65747, , , 
 88 air core holes St Ives Gold Mining Co Pty Ltd 2012 97166, , , 
 53 RAB holes   , , , 
 67 air core holes   , , , 
